station_id,x_km,y_km
0,4.65,0.0
1,-3.627294,3.322898
2,0.44813,-5.106206
3,3.224726,4.206084
4,-5.37008,-0.949892
5,4.718422,-3.001474
6,-1.484869,5.523638
7,-2.690995,-5.181348
8,5.588962,2.04108
9,-5.597356,2.310507
10,2.609114,-5.575525
11,1.871023,5.965115
12,-5.488561,-3.180733
13,6.282054,-1.381092
14,-3.748371,5.331672
15,-0.848171,-6.545274
16,5.10787,4.304918
17,-6.751946,0.279214
18,4.843633,-4.820062
19,-0.319039,6.899516
20,-4.4713,-5.358112
21,6.985821,0.939932
22,-5.842287,4.064911
23,1.576828,-7.009159
24,3.604561,6.29044
25,-6.96834,-2.223091
26,6.697228,-3.094289
27,-2.872092,6.862718
28,-2.538513,-7.057713
29,6.692206,3.517236
