slot_id,service_date,split,slot_in_day,type_id,observed_count,mean_value
2016-11-01-00,2016-11-01,train,0,0,2.0,0.3667348329925017
2016-11-01-00,2016-11-01,train,0,1,4.0,0.22648261758691207
2016-11-01-00,2016-11-01,train,0,2,4.0,0.32021131561008864
2016-11-01-00,2016-11-01,train,0,3,1.0,0.2201772324471711
2016-11-01-00,2016-11-01,train,0,4,3.0,0.29811406498523063
2016-11-01-00,2016-11-01,train,0,5,2.0,0.1601908657123381
2016-11-01-00,2016-11-01,train,0,6,12.0,0.25198818450352195
2016-11-01-00,2016-11-01,train,0,7,11.0,0.33054471091280907
2016-11-01-00,2016-11-01,train,0,8,10.0,0.3351056578050443
2016-11-01-00,2016-11-01,train,0,9,3.0,0.402408543512838
2016-11-01-00,2016-11-01,train,0,10,6.0,0.19086571233810498
2016-11-01-00,2016-11-01,train,0,11,9.0,0.3698401878360979
2016-11-01-00,2016-11-01,train,0,12,4.0,0.39280845262440356
2016-11-01-00,2016-11-01,train,0,13,6.0,0.3220858895705521
2016-11-01-00,2016-11-01,train,0,14,16.0,0.3205947511929107
2016-11-01-00,2016-11-01,train,0,15,5.0,0.45821404226312196
2016-11-01-00,2016-11-01,train,0,16,14.0,0.31862888304606096
2016-11-01-00,2016-11-01,train,0,17,2.0,0.32413087934560325
2016-11-01-00,2016-11-01,train,0,18,6.0,0.3501476937059759
2016-11-01-00,2016-11-01,train,0,19,17.0,0.39131480813184166
2016-11-01-00,2016-11-01,train,0,20,5.0,0.39972733469665983
2016-11-01-00,2016-11-01,train,0,21,5.0,0.23940013633265167
2016-11-01-00,2016-11-01,train,0,22,4.0,0.16990456714383095
2016-11-01-00,2016-11-01,train,0,23,16.0,0.34155589638718475
2016-11-01-00,2016-11-01,train,0,24,5.0,0.31465576005453305
2016-11-01-00,2016-11-01,train,0,25,32.0,0.40929618268575324
2016-11-01-00,2016-11-01,train,0,26,13.0,0.36023281422054426
2016-11-01-00,2016-11-01,train,0,27,34.0,0.3777617386422872
2016-11-01-00,2016-11-01,train,0,28,23.0,0.41815595269849737
2016-11-01-00,2016-11-01,train,0,29,26.0,0.4370248020554769
2016-11-01-01,2016-11-01,train,1,0,6.0,0.22165416950693026
2016-11-01-01,2016-11-01,train,1,1,7.0,0.20975752264095823
2016-11-01-01,2016-11-01,train,1,2,5.0,0.35991820040899797
2016-11-01-01,2016-11-01,train,1,3,3.0,0.2801635991820041
