experiment,method,orders,passengers,priority,travel_time,avg_travel_time,avg_candidate_buses,zero_candidate_rate
1,PaperRandom,264,610,132.21804141960624,37870.62094465908,62.08298515517882,0.39666666666666667,0.7108333333333333
1,PaperGreedy,269,623,134.38402083485553,38650.49711648422,62.03932121426039,0.39666666666666667,0.7108333333333333
1,RandomFF,262,618,130.69953903469965,38428.22040500682,62.18158641586864,0.39666666666666667,0.7108333333333333
1,GreedyFF,269,623,134.47321302493836,38406.59737668329,61.64782885502936,0.39666666666666667,0.7108333333333333
1,IPD,261,605,135.0117150417982,37227.80034054466,61.533554281891995,0.39666666666666667,0.7108333333333333
2,PaperRandom,412,997,208.97767029572785,62890.30468260043,63.07954331253804,0.6766666666666666,0.6025
2,PaperGreedy,404,982,199.86292006918745,62048.31461233397,63.18565642803866,0.6766666666666666,0.6025
2,RandomFF,409,994,205.60797639006728,62188.044682500724,62.56342523390415,0.6766666666666666,0.6025
2,GreedyFF,405,984,202.54665830093137,62197.990089675215,63.209339522027655,0.6766666666666666,0.6025
2,IPD,403,975,207.73077652874235,60713.13049917115,62.269877435047334,0.6766666666666666,0.6025
3,PaperRandom,466,1154,235.45053342131686,71438.1997304013,61.90485245268744,0.6208333333333333,0.5891666666666666
3,PaperGreedy,470,1171,237.0899962472638,73390.11546198899,62.67302772159606,0.6208333333333333,0.5891666666666666
3,RandomFF,468,1161,235.5457360476446,72777.77272868094,62.685420093609764,0.6208333333333333,0.5891666666666666
3,GreedyFF,469,1168,236.21192834193863,72996.50871449747,62.497010885699886,0.6208333333333333,0.5891666666666666
3,IPD,455,1120,234.68668786499154,69813.7831524103,62.33373495750919,0.6208333333333333,0.5891666666666666
4,PaperRandom,357,905,182.38672115754378,55856.695117772375,61.720105102510914,0.7888888888888889,0.5522222222222222
4,PaperGreedy,365,918,187.02063214368607,56501.06861866404,61.54800503122444,0.7888888888888889,0.5522222222222222
4,RandomFF,366,916,186.62186104061502,56597.28812163275,61.787432447197325,0.7888888888888889,0.5522222222222222
4,GreedyFF,365,918,187.02063214368607,56384.928544124086,61.421490788806196,0.7888888888888889,0.5522222222222222
4,IPD,361,908,190.04949431286062,55895.329644883626,61.558733089078885,0.7888888888888889,0.5522222222222222
5,PaperRandom,434,1083,223.18597234686573,65944.94959965645,60.890996860255264,0.7146666666666667,0.59
5,PaperGreedy,432,1079,215.72940154205708,65835.42954556167,61.015226640928326,0.7146666666666667,0.59
5,RandomFF,437,1089,220.1456907916166,66503.97126991062,61.068844141332065,0.7146666666666667,0.59
5,GreedyFF,432,1086,215.3346744104467,65992.07286622106,60.76618127644665,0.7146666666666667,0.59
5,IPD,436,1089,222.1742799238447,66010.4539297367,60.615660174230214,0.7146666666666667,0.59
