idx,overlap,wave_std,route_min,route_max,avg_candidates,zero_candidate_rate,random_priority,greedy_priority,ipd_priority,opt_priority,ipd_vs_random_pct,ipd_vs_greedy_pct,ipd_ratio_to_opt
1,6,15,5,8,0.397,0.711,135.303,136.986,135.9,158.196,0.44,-0.79,0.859
2,6,15,7,10,0.514,0.654,151.329,145.387,154.019,192.564,1.78,5.94,0.8
3,6,15,9,12,0.678,0.582,156.755,163.629,168.797,218.075,7.68,3.16,0.774
4,6,25,5,8,0.428,0.684,135.552,135.929,139.414,172.985,2.85,2.56,0.806
5,6,25,7,10,0.53,0.623,138.219,141.479,148.97,197.956,7.78,5.29,0.753
6,6,25,9,12,0.691,0.559,148.915,147.261,151.545,213.196,1.77,2.91,0.711
7,6,35,5,8,0.388,0.712,117.422,117.886,121.84,149.513,3.76,3.35,0.815
8,6,35,7,10,0.498,0.631,144.992,143.847,150.208,191.007,3.6,4.42,0.786
9,6,35,9,12,0.634,0.57,149.749,151.207,154.73,211.048,3.33,2.33,0.733
10,8,15,5,8,0.403,0.706,133.463,133.964,137.483,158.106,3.01,2.63,0.87
11,8,15,7,10,0.531,0.65,149.428,143.848,149.692,192.722,0.18,4.06,0.777
12,8,15,9,12,0.699,0.57,150.152,155.055,170.231,219.15,13.37,9.79,0.777
13,8,25,5,8,0.444,0.67,132.867,134.787,135.701,171.607,2.13,0.68,0.791
14,8,25,7,10,0.54,0.614,140.973,142.84,148.339,200.276,5.23,3.85,0.741
15,8,25,9,12,0.708,0.531,155.542,153.629,155.645,223.274,0.07,1.31,0.697
16,8,35,5,8,0.392,0.709,114.256,115.438,117.857,148.834,3.15,2.1,0.792
17,8,35,7,10,0.487,0.652,144.84,143.897,148.954,188.409,2.84,3.51,0.791
18,8,35,9,12,0.664,0.556,159.717,155.335,160.4,217.603,0.43,3.26,0.737
19,10,15,5,8,0.411,0.703,131.1,133.047,136.527,160.569,4.14,2.62,0.85
20,10,15,7,10,0.528,0.656,152.18,144.88,150.182,192.293,-1.31,3.66,0.781
21,10,15,9,12,0.704,0.568,148.165,153.522,170.117,221.091,14.82,10.81,0.769
22,10,25,5,8,0.447,0.667,132.916,135.866,135.928,173.694,2.27,0.05,0.783
23,10,25,7,10,0.532,0.618,134.43,136.282,141.328,198.758,5.13,3.7,0.711
24,10,25,9,12,0.707,0.533,155.776,152.157,156.522,223.706,0.48,2.87,0.7
25,10,35,5,8,0.404,0.707,111.758,114.429,118.379,150.799,5.92,3.45,0.785
26,10,35,7,10,0.492,0.657,146.112,145.454,150.523,188.12,3.02,3.49,0.8
27,10,35,9,12,0.674,0.554,161.491,156.525,161.073,218.392,-0.26,2.91,0.738
28,12,15,5,8,0.403,0.713,130.535,131.378,134.003,156.174,2.66,2.0,0.858
29,12,15,7,10,0.534,0.648,154.567,152.416,157.741,196.325,2.05,3.49,0.803
30,12,15,9,12,0.701,0.569,151.88,156.745,166.708,220.172,9.76,6.36,0.757
31,12,25,5,8,0.444,0.677,131.401,135.704,135.26,171.698,2.94,-0.33,0.788
32,12,25,7,10,0.542,0.615,146.778,146.702,151.304,202.826,3.08,3.14,0.746
33,12,25,9,12,0.714,0.537,155.924,152.796,157.403,222.748,0.95,3.01,0.707
34,12,35,5,8,0.398,0.716,114.619,115.65,119.016,149.518,3.84,2.91,0.796
35,12,35,7,10,0.517,0.636,147.247,145.372,153.714,192.115,4.39,5.74,0.8
36,12,35,9,12,0.674,0.557,159.13,158.6,161.448,218.46,1.46,1.8,0.739
